Colas Rail Egypt كولاس ريل مصر,https://eg.linkedin.com/company/colas-rail-egypt?trk=public_jobs_sub-nav-cta-optional-url,"South Sinai, Egypt",https://eg.linkedin.com/jobs/view/storekeeper-at-colas-rail-egypt-%D9%83%D9%88%D9%84%D8%A7%D8%B3-%D8%B1%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-4295806751?position=10&pageNum=3&refId=LxehBiedsKYDqWndZ7oE5g%3D%3D&trackingId=XWgC%2FtF976oFeD2lwDaznQ%3D%3D,Storekeeper,"We are seeking a reliable and organized Storekeeper to join our team. The Storekeeper will be responsible for managing inventory, ensuring that goods are stored safely, and maintaining accurate records of stock. The ideal candidate will have strong attention to detail, excellent organizational skills, and the ability to work independently as well as part of a team.",Full-Time,,"Vendor-Managed Inventory, Sage SAFE X3","Organizational Skills, Reliability"
Emirates NBD,https://ae.linkedin.com/company/emirates-nbd?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/call-center-representative-at-emirates-nbd-4290312847?position=3&pageNum=4&refId=Vws6jcD0%2FZ5%2BtJdeV1dOmg%3D%3D&trackingId=N3RbIX6w8lyBGm1%2BnYVCaQ%3D%3D,Call Center Representative,"We seek a friendly and customer-focused individual to join our inbound contact center team in Cairo, Egypt. In this role, you will be our valued customers' first point of contact, answering their questions, addressing their concerns, and ensuring they have a positive experience with our bank.",Full-Time,,"Customer Value Proposition, Banking","Friendliness, Positivity"
Emirates NBD,https://ae.linkedin.com/company/emirates-nbd?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/csr-officer-at-emirates-nbd-4293372538?position=4&pageNum=4&refId=Vws6jcD0%2FZ5%2BtJdeV1dOmg%3D%3D&trackingId=HCnDMvYa6ZcV%2BclKy8BbWQ%3D%3D,CSR Officer,Assist in discussions with external organizations which could potentially partner with the bank on CSR activities/events.,Full-Time,Remote,Banking,
Colas Rail Egypt كولاس ريل مصر,https://eg.linkedin.com/company/colas-rail-egypt?trk=public_jobs_sub-nav-cta-optional-url,"Qesm Heliopolis, Cairo, Egypt",https://eg.linkedin.com/jobs/view/document-controller-2-at-colas-rail-egypt-%D9%83%D9%88%D9%84%D8%A7%D8%B3-%D8%B1%D9%8A%D9%84-%D9%85%D8%B5%D8%B1-4247919722?position=7&pageNum=4&refId=Vws6jcD0%2FZ5%2BtJdeV1dOmg%3D%3D&trackingId=mzXEP9RGH1DVr5nosjSVDw%3D%3D,Document Controller 2,Ability to work as a team player,Full-Time,On-Site,,
Toyota Egypt Group,https://eg.linkedin.com/company/toyota-egypt?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/administrative-executive-at-toyota-egypt-group-4301198637?position=9&pageNum=4&refId=Vws6jcD0%2FZ5%2BtJdeV1dOmg%3D%3D&trackingId=L%2B34Rfq2DLrH0cv1YFn0ag%3D%3D,Administrative Executive,Office Administration,Full-Time,On-Site,Office Administration,
Marriott International,https://www.linkedin.com/company/marriott-international?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/admin-assistant-at-marriott-international-4279712285?position=10&pageNum=4&refId=Vws6jcD0%2FZ5%2BtJdeV1dOmg%3D%3D&trackingId=CKRZM5RXDncRBDVmPX19rw%3D%3D,Admin Assistant,"Supports the General Manager and his/her team by assisting on administrative responsibilities. Duties include organizing, composing and distributing correspondence to both employees and guests, initial response and follow up to inquiries and collecting and tracking problem resolution information.",Full-Time,Remote,"Inquiry, Collections, Tracking (Commercial Airline Flight)",Management
Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/data-scientist-at-banque-misr-4281944321?position=2&pageNum=5&refId=sIhKq1VeOJa0sAu0QmHtxQ%3D%3D&trackingId=ZAcCCozvPz1DWeltbS1UWQ%3D%3D,Data Scientist,"Banque Misr is transforming into an AI-led bank, revolutionizing how we serve our customers and drive the future of finance. We leverage our rich heritage and expertise to build a data-driven powerhouse that anticipates customer needs, personalizes experiences, and optimizes operations. We're not just talking about AI; we're deploying it, and we're seeing tangible results that touch the lives of every Egyptian. Join our agile, hybrid team and be at the forefront of this exciting transformation!",Full-Time,Remote,"Banking, Finance, PowerHouse (Programming Language), Agility, Transformation (Genetics)",Operations
Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/diversified-industries-documentation-monitoring-risk-officer-at-banque-misr-4295565199?position=3&pageNum=5&refId=sIhKq1VeOJa0sAu0QmHtxQ%3D%3D&trackingId=K2bfZMp4D4jBtyZYBd1Mcg%3D%3D,Diversified Industries Documentation Monitoring Risk Officer,"Track collateral, deferred, and outstanding documents, ensuring records are up to date and compliant with credit terms.",Full-Time,Remote,Track (Rail Transport),
Imdad,https://ae.linkedin.com/company/imdad?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/accounts-receivable-accountant-cairo-at-imdad-4287791735?position=8&pageNum=5&refId=sIhKq1VeOJa0sAu0QmHtxQ%3D%3D&trackingId=%2FRO07NbAamh8vs0R8wuZmA%3D%3D,Accounts Receivable Accountant - Cairo,"To provide financial, clerical and administrative services to ensure efficient, timely and accurate postings for AR receipts and invoices, in addition to preparing checks for employees expenses and assist in depositing checks in the bank.",Full-Time,On-Site,"AR System Administration, Banking",
Banque Misr,https://eg.linkedin.com/company/banque-misr?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/data-operation-support-specialist-analyst-senior-analyst-at-banque-misr-4283713335?position=1&pageNum=6&refId=VU1nvK%2F7EhPBJpfBP7Xo1A%3D%3D&trackingId=V47uK2jbvr78mEP%2FFYycUA%3D%3D,Data Operation & Support Specialist/ Analyst/ Senior Analyst,Implement end to end to apply the data strategy scope for operation and support the enterprise data management functions,Full-Time,,Data Management,Operations
